,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,all-confidence,collective strength,cosine similarity
19,frozenset({'양파'}),frozenset({'당근'}),0.07513699266276586,0.06473483793071422,0.007337234141357852,0.0976514215080346,1.5084832932238288,0.0024732530987324414,1.0364787891973317,0.3644674722441851,{'양파 => 당근': 0.0976514215080346},3.0511075020489047,0.10520501471274933
18,frozenset({'당근'}),frozenset({'양파'}),0.06473483793071422,0.07513699266276586,0.007337234141357852,0.1133428981348637,1.5084832932238288,0.0024732530987324414,1.0430898318997608,0.3604138121755308,{'양파 => 당근': 0.0976514215080346},3.0511075020489047,0.10520501471274933
39,frozenset({'유정란/친환경'}),frozenset({'구운도시락김'}),0.15203863657471905,0.029813318473112287,0.005293953747561995,0.03481979230299328,1.1679274259387185,0.0007611774551421176,1.0051870871262754,0.16956246036778685,{'유정란/친환경 => 구운도시락김': 0.03481979230299328},3.0125859747664596,0.07863176058965432
38,frozenset({'구운도시락김'}),frozenset({'유정란/친환경'}),0.029813318473112287,0.15203863657471905,0.005293953747561995,0.17757009345794392,1.1679274259387185,0.0007611774551421176,1.0310439305284667,0.14820077188951694,{'유정란/친환경 => 구운도시락김': 0.03481979230299328},3.0125859747664596,0.07863176058965432
27,frozenset({'당근'}),frozenset({'콩나물'}),0.06473483793071422,0.08572490015788985,0.006315593944459924,0.0975609756097561,1.1380704489601776,0.0007662064261122672,1.0131156511763924,0.12971698113207555,{'콩나물 => 당근': 0.07367280606717226},3.014699155480373,0.08477966050782278
26,frozenset({'콩나물'}),frozenset({'당근'}),0.08572490015788985,0.06473483793071422,0.006315593944459924,0.07367280606717226,1.1380704489601776,0.0007662064261122672,1.0096488240818138,0.13269504266558316,{'콩나물 => 당근': 0.07367280606717226},3.014699155480373,0.08477966050782278
25,frozenset({'시금치'}),frozenset({'두부'}),0.03213522801151667,0.19596916504133,0.006408470325996099,0.1994219653179191,1.0176190998000165,0.00011095652416641833,1.0043128840999993,0.017888906041173866,{'두부 => 시금치': 0.032701421800947865},3.001596817822738,0.08075507293189245
24,frozenset({'두부'}),frozenset({'시금치'}),0.19596916504133,0.03213522801151667,0.006408470325996099,0.032701421800947865,1.0176190998000163,0.00011095652416641833,1.0005853350787357,0.021534052195341675,{'두부 => 시금치': 0.032701421800947865},3.001596817822738,0.08075507293189245
2,frozenset({'콩나물'}),frozenset({'두부'}),0.08572490015788985,0.19596916504133,0.01699637782112009,0.19826652221018418,1.0117230543303568,0.00019694071392703863,1.0028654873876384,0.012673665465413488,{'두부 => 콩나물': 0.0867298578199052},3.002638669331362,0.13113209859426622
3,frozenset({'두부'}),frozenset({'콩나물'}),0.19596916504133,0.08572490015788985,0.01699637782112009,0.0867298578199052,1.0117230543303568,0.00019694071392703863,1.0011003947414907,0.014411408437279703,{'두부 => 콩나물': 0.0867298578199052},3.002638669331362,0.13113209859426622
43,frozenset({'찌개용두부'}),frozenset({'콩나물'}),0.057861985697037245,0.08572490015788985,0.005015324602953469,0.08667736757624397,1.0111107439798688,5.5111656137700644e-05,1.0010428597568273,0.011663526697044018,{'콩나물 => 찌개용두부': 0.05850487540628386},3.0010798594345474,0.07121129538628561
42,frozenset({'콩나물'}),frozenset({'찌개용두부'}),0.08572490015788985,0.057861985697037245,0.005015324602953469,0.05850487540628386,1.0111107439798688,5.5111656137700644e-05,1.0006828391273126,0.012018977530964496,{'콩나물 => 찌개용두부': 0.05850487540628386},3.0010798594345474,0.07121129538628561
16,frozenset({'두부'}),frozenset({'팽이버섯'}),0.19596916504133,0.03770781090368719,0.007430110522894028,0.03791469194312796,1.005486424018864,4.054230456209014e-05,1.0002150339868079,0.0067864156174194355,{'두부 => 팽이버섯': 0.03791469194312796},3.000578213771468,0.08643422504847052
17,frozenset({'팽이버섯'}),frozenset({'두부'}),0.03770781090368719,0.19596916504133,0.007430110522894028,0.19704433497536947,1.005486424018864,4.054230456209014e-05,1.0013390153166257,0.005670302094392439,{'두부 => 팽이버섯': 0.03791469194312796},3.000578213771468,0.08643422504847052
23,frozenset({'유정란/친환경'}),frozenset({'유기농우유'}),0.15203863657471905,0.04355902294046624,0.006408470325996099,0.042150274893097125,0.9676588694541082,-0.0002141841323992982,0.9985292598510566,-0.03791997556505819,{'유정란/친환경 => 유기농우유': 0.042150274893097125},2.9966098028710166,0.07874778187722868
22,frozenset({'유기농우유'}),frozenset({'유정란/친환경'}),0.04355902294046624,0.15203863657471905,0.006408470325996099,0.14712153518123666,0.9676588694541082,-0.0002141841323992982,0.994234698616142,-0.03376430529567918,{'유정란/친환경 => 유기농우유': 0.042150274893097125},2.9966098028710166,0.07874778187722868
33,frozenset({'양파'}),frozenset({'콩나물'}),0.07513699266276586,0.08572490015788985,0.005851212036779047,0.07787391841779975,0.9084165542843445,-0.0005898991574006572,0.9914859996947281,-0.09829246557622084,{'콩나물 => 양파': 0.06825568797399784},2.9893318948872594,0.07290636376090844
32,frozenset({'콩나물'}),frozenset({'양파'}),0.08572490015788985,0.07513699266276586,0.005851212036779047,0.06825568797399784,0.9084165542843445,-0.0005898991574006572,0.9926145997351943,-0.0993177045361464,{'콩나물 => 양파': 0.06825568797399784},2.9893318948872594,0.07290636376090844
7,frozenset({'두부'}),frozenset({'동물복지유정란'}),0.19596916504133,0.0602767716169778,0.010123525587443113,0.05165876777251185,0.8570261211196226,-0.001688863017722966,0.9909125496692539,-0.17183342109882402,{'두부 => 동물복지유정란': 0.05165876777251185},2.9769472506317483,0.09314572382166354
6,frozenset({'동물복지유정란'}),frozenset({'두부'}),0.0602767716169778,0.19596916504133,0.010123525587443113,0.16795069337442217,0.8570261211196225,-0.001688863017722966,0.9663259479410682,-0.15076206118820415,{'두부 => 동물복지유정란': 0.05165876777251185},2.9769472506317483,0.09314572382166354
41,frozenset({'애호박'}),frozenset({'두부'}),0.03139221695922727,0.19596916504133,0.00520107736602582,0.16568047337278108,0.8454415435093525,-0.000950829180270227,0.963696532680959,-0.1587723189850371,{'두부 => 애호박': 0.026540284360189573},2.9864108405781074,0.06631143850230085
40,frozenset({'두부'}),frozenset({'애호박'}),0.19596916504133,0.03139221695922727,0.00520107736602582,0.026540284360189573,0.8454415435093525,-0.000950829180270227,0.9950157849153022,-0.18525091593559875,{'두부 => 애호박': 0.026540284360189573},2.9864108405781074,0.06631143850230085
1,frozenset({'두부'}),frozenset({'유정란/친환경'}),0.19596916504133,0.15203863657471905,0.02516949939630352,0.12843601895734597,0.8447590813156652,-0.004625385267266389,0.972919236991486,-0.18603908044381845,{'두부 => 유정란/친환경': 0.12843601895734597},2.943326045459338,0.1458155107908502
0,frozenset({'유정란/친환경'}),frozenset({'두부'}),0.15203863657471905,0.19596916504133,0.02516949939630352,0.1655467318265119,0.8447590813156651,-0.004625385267266389,0.9635420767403681,-0.17811763916473428,{'두부 => 유정란/친환경': 0.12843601895734597},2.943326045459338,0.1458155107908502
35,frozenset({'두부'}),frozenset({'브로컬리'}),0.19596916504133,0.03436426116838488,0.0054797065106343456,0.02796208530805687,0.8136966824644548,-0.0012546290577962393,0.9934136562334022,-0.2216470337239605,{'두부 => 브로컬리': 0.02796208530805687},2.982190147498965,0.06677438886715506
34,frozenset({'브로컬리'}),frozenset({'두부'}),0.03436426116838488,0.19596916504133,0.0054797065106343456,0.15945945945945944,0.8136966824644548,-0.0012546290577962393,0.956564015867228,-0.19166260360799625,{'두부 => 브로컬리': 0.02796208530805687},2.982190147498965,0.06677438886715506
21,frozenset({'유정란/친환경'}),frozenset({'찌개용두부'}),0.15203863657471905,0.057861985697037245,0.006965728615213151,0.04581551618814905,0.791806842372072,-0.0018315287996702864,0.9873751148616837,-0.23668674671934156,{'유정란/친환경 => 찌개용두부': 0.04581551618814905},2.9723223515251407,0.07426649028756314
20,frozenset({'찌개용두부'}),frozenset({'유정란/친환경'}),0.057861985697037245,0.15203863657471905,0.006965728615213151,0.1203852327447833,0.7918068423720719,-0.0018315287996702864,0.9640144697334855,-0.21818962806460837,{'유정란/친환경 => 찌개용두부': 0.04581551618814905},2.9723223515251407,0.07426649028756314
14,frozenset({'당근'}),frozenset({'유정란/친환경'}),0.06473483793071422,0.15203863657471905,0.007708739667502554,0.11908177905308465,0.7832336683351022,-0.0021334568303686425,0.9625880623899362,-0.22834394139989544,{'유정란/친환경 => 당근': 0.050702504581551615},2.96829310995178,0.07770292432089247
15,frozenset({'유정란/친환경'}),frozenset({'당근'}),0.15203863657471905,0.06473483793071422,0.007708739667502554,0.050702504581551615,0.7832336683351022,-0.0021334568303686425,0.9852181919610172,-0.24606862079875194,{'유정란/친환경 => 당근': 0.050702504581551615},2.96829310995178,0.07770292432089247
4,frozenset({'두부'}),frozenset({'양파'}),0.19596916504133,0.07513699266276586,0.011330918547413393,0.05781990521327014,0.7695264764292703,-0.00339361516842537,0.9816201939042073,-0.27140186400104854,{'두부 => 양파': 0.05781990521327014},2.95502542561488,0.09337795149015689
5,frozenset({'양파'}),frozenset({'두부'}),0.07513699266276586,0.19596916504133,0.011330918547413393,0.1508034610630408,0.7695264764292702,-0.00339361516842537,0.9468136033210539,-0.24461727099307834,{'두부 => 양파': 0.05781990521327014},2.95502542561488,0.09337795149015689
8,frozenset({'당근'}),frozenset({'두부'}),0.06473483793071422,0.19596916504133,0.009659143679762236,0.1492109038737446,0.7613999061652171,-0.0030268884586056467,0.9450413017979645,-0.2509701884304046,{'두부 => 당근': 0.049289099526066346},2.95928554371599,0.0857582129676646
9,frozenset({'두부'}),frozenset({'당근'}),0.19596916504133,0.06473483793071422,0.009659143679762236,0.049289099526066346,0.7613999061652171,-0.0030268884586056467,0.9837534855265169,-0.280445641488775,{'두부 => 당근': 0.049289099526066346},2.95928554371599,0.0857582129676646
29,frozenset({'두부'}),frozenset({'유기농우유'}),0.19596916504133,0.04355902294046624,0.006315593944459924,0.03222748815165877,0.7398579209571641,-0.002220631411199385,0.9882911173337984,-0.30425594780820475,{'두부 => 유기농우유': 0.03222748815165877},2.969114068507693,0.06835672757935224
28,frozenset({'유기농우유'}),frozenset({'두부'}),0.04355902294046624,0.19596916504133,0.006315593944459924,0.14498933901918976,0.739857920957164,-0.002220631411199385,0.9403752159491676,-0.26880498862898344,{'두부 => 유기농우유': 0.03222748815165877},2.969114068507693,0.06835672757935224
12,frozenset({'유정란/친환경'}),frozenset({'양파'}),0.15203863657471905,0.07513699266276586,0.008265997956719607,0.05436774587660355,0.7235816067409029,-0.003157727964051983,0.9780366556918942,-0.3105867779814022,{'유정란/친환경 => 양파': 0.05436774587660355},2.9543817400590617,0.07733772742226262
13,frozenset({'양파'}),frozenset({'유정란/친환경'}),0.07513699266276586,0.15203863657471905,0.008265997956719607,0.11001236093943141,0.7235816067409029,-0.003157727964051983,0.9527788097375727,-0.29231066522296,{'유정란/친환경 => 양파': 0.05436774587660355},2.9543817400590617,0.07733772742226262
31,frozenset({'두부'}),frozenset({'연두부'}),0.19596916504133,0.04662394353116003,0.006222717562923748,0.03175355450236967,0.6810568153924587,-0.0029141377218118002,0.9846419379095704,-0.3680677670643351,{'두부 => 연두부': 0.03175355450236967},2.959838696692076,0.06510010911274704
30,frozenset({'연두부'}),frozenset({'두부'}),0.04662394353116003,0.19596916504133,0.006222717562923748,0.13346613545816732,0.6810568153924585,-0.0029141377218118002,0.9278700670097755,-0.329402897465449,{'두부 => 연두부': 0.03175355450236967},2.959838696692076,0.06510010911274704
10,frozenset({'콩나물'}),frozenset({'유정란/친환경'}),0.08572490015788985,0.15203863657471905,0.008823256245936658,0.10292524377031419,0.6769676845906981,-0.004210240694572832,0.945251616475283,-0.3429337875000176,{'유정란/친환경 => 콩나물': 0.05803298717165546},2.94079050690201,0.07728557013674775
11,frozenset({'유정란/친환경'}),frozenset({'콩나물'}),0.15203863657471905,0.08572490015788985,0.008823256245936658,0.05803298717165546,0.6769676845906981,-0.004210240694572832,0.970602035305794,-0.36009520183911303,{'유정란/친환경 => 콩나물': 0.05803298717165546},2.94079050690201,0.07728557013674775
37,frozenset({'두부'}),frozenset({'찌개용두부'}),0.19596916504133,0.057861985697037245,0.00538683012909817,0.027488151658767772,0.4750640913482385,-0.005952334895583597,0.9687676462861848,-0.5788231346726502,{'두부 => 찌개용두부': 0.027488151658767772},2.920811970997148,0.05058744469260467
36,frozenset({'찌개용두부'}),frozenset({'두부'}),0.057861985697037245,0.19596916504133,0.00538683012909817,0.09309791332263241,0.47506409134823846,-0.005952334895583597,0.8865685135915954,-0.5397732783894817,{'두부 => 찌개용두부': 0.027488151658767772},2.920811970997148,0.05058744469260467
